id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ cho việc khắc phục (resolution) [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer's only claim, that the P1 ticket resolution SLA is 4 hours, is directly stated in the retrieved context for Ticket P1.",5,"The answer directly and fully addresses the user's question by providing the specific time (4 hours) for the SLA of a P1 ticket, and clarifies it pertains to resolution.",5,Retrieved: 1/1 expected sources,3,"Thiếu thông tin quan trọng về SLA phản hồi ban đầu (15 phút), chỉ đề cập đến thời gian xử lý (4 giờ).",variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1][3].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer's single claim about the 7-day refund request window is directly and fully supported by the retrieved context in multiple places.,5,The answer directly and fully addresses the user's question by providing the specific number of days (7 working days) and the starting point (from order confirmation).,5,Retrieved: 1/1 expected sources,5,"The model answer correctly and completely states the 7-day working period from the order confirmation date, matching the expected answer exactly.",variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3 (Elevated Access), cần được phê duyệt bởi Line Manager + IT Admin + IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,The answer's single claim about Level 3 approval requirements (Line Manager + IT Admin + IT Security) is directly and fully supported by the retrieved context.,5,"The answer directly and fully addresses the question by specifying the exact entities (Line Manager, IT Admin, IT Security) whose approval is required to grant Level 3 access.",5,Retrieved: 1/1 expected sources,5,"The model answer correctly and completely identifies all three required approvers for Level 3 access: Line Manager, IT Admin, and IT Security.",variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) không được hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The answer's only claim is directly and fully supported by the retrieved context, which explicitly lists 'Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription)' as an exception for refunds.",5,"The answer directly and fully addresses the user's question by confirming that digital products are not eligible for a refund, which is the core of the query.",5,Retrieved: 1/1 expected sources,4,"Covers the core answer (no refund) and the key categories (license key, subscription). Missing the minor detail of explicitly naming the 'refund policy' as the source ('Theo chính sách hoàn tiền').",variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,1,"The answer contains only one claim, which is directly supported by the context. However, the citation '[1]' is fabricated, as the provided context does not contain any numbered references or citations. The answer introduces an unsupported formatting element.",5,The answer directly and fully addresses the user's question by providing the specific number of failed login attempts (5) that leads to an account lockout.,5,Retrieved: 1/1 expected sources,5,The model answer correctly and completely states the key point from the expected answer: the account is locked after 5 consecutive failed login attempts.,variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Escalation trong sự cố P1 diễn ra tự động: hệ thống tự động escalate lên Senior Engineer nếu ticket không nhận được phản hồi trong vòng 10 phút [3].,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,The answer's claim about automatic escalation for P1 tickets after 10 minutes without a response is directly and fully supported by the retrieved context in the 'SLA TICKET - QUY ĐỊNH XỬ LÝ SỰ CỐ' section.,5,"The answer directly and fully addresses the question by explaining how escalation for a P1 incident occurs, specifying the trigger (no response within 10 minutes) and the target (Senior Engineer).",5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer: the ticket is P1, escalation is automatic, it goes to a Senior Engineer, and the trigger is no response within 10 minutes of ticket creation.",variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tên cũ của tài liệu ""Quy trình kiểm soát truy cập hệ thống (Access Control SOP)"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer's single claim—that 'Approval Matrix for System Access' is the former name of the document—is directly and explicitly stated in the first line of the retrieved context ('Tài liệu này trước đây có tên ""Approval Matrix for System Access"".'). No fabrication or external knowledge is used.",5,The answer directly and fully addresses the question by identifying the specific document (Access Control SOP) that was formerly known as the 'Approval Matrix để cấp quyền hệ thống'.,5,Retrieved: 1/1 expected sources,5,"The model answer correctly identifies both the old name ('Approval Matrix') and the new name ('Access Control SOP') of the document, covering all key points from the expected answer.",variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau thời gian thử việc có thể làm remote tối đa 2 ngày mỗi tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer's single claim is directly and fully supported by the retrieved context, which states: 'Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần.'",5,The answer directly and fully addresses the user's question by providing the specific maximum number of remote work days per week (2 days).,5,Retrieved: 1/1 expected sources,3,"Answer covers the core detail of 2 days per week but misses the important condition requiring Team Lead approval, which is a key part of the policy.",variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không có thông tin trong ngữ cảnh được cung cấp về lỗi ERR-403-AUTH hoặc cách xử lý nó.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer correctly states that there is no information in the provided context about the specific error ERR-403-AUTH or how to handle it. It makes no claims beyond this fact, which is fully supported by the context.",1,"Câu trả lời không cung cấp bất kỳ thông tin nào về lỗi ERR-403-AUTH hoặc cách xử lý, mà chỉ nói rằng không có thông tin trong ngữ cảnh. Điều này hoàn toàn không trả lời câu hỏi của người dùng.",,No expected sources,5,"The model answer correctly states that no information about ERR-403-AUTH or its handling was found in the provided context, which fully aligns with the core point of the expected answer.",variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin trong ngữ cảnh được cung cấp về việc quy trình hoàn tiền có khác biệt cho khách hàng VIP hay không. [1][2],"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"The answer correctly states that there is no information in the provided context about different refund processes for VIP customers. This claim is fully supported, as the context only describes a general refund policy and process, with no mention of VIP status.",1,"The answer does not address the user's question at all. It states that there is no information in the provided context, which is a refusal to answer rather than a relevant response to the procedural query.",5,Retrieved: 1/1 expected sources,5,"The model answer correctly states that there is no information about a different process for VIP customers, which is the core point of the expected answer. It covers the key idea that no special procedure is mentioned or exists.",variant_hybrid_rerank
